seed	result	game_min	js_errors	failed_ai	harness
201	win	23.0	0	0	1
202	win	24.9	0	0	1
203	win	28.7	0	0	1
204	win	31.4	0	0	1
205	win	28.3	0	0	1
206	win	21.4	0	0	1
207	win	25.7	0	0	1
208	win	26.4	0	0	1
209	win	27.2	0	0	1
210	win	30.6	0	0	1
211	win	25.8	0	0	1
212	win	31.7	0	0	1
213	win	27.0	0	0	1
214	win	23.2	0	0	1
215	timeout	45.0	0	0	1
216	win	24.1	0	0	1
217	win	23.6	0	0	1
218	win	28.0	0	0	1
219	win	34.3	0	0	1
220	win	23.2	0	0	1
221	win	34.0	0	0	1
222	win	23.6	0	0	1
223	win	31.7	0	0	1
224	win	24.1	0	0	1
225	win	28.2	0	0	1
226	win	25.0	0	0	1
227	win	23.1	0	0	1
228	win	33.0	0	0	1
229	win	24.1	0	0	1
230	timeout	45.0	0	0	1
231	win	24.0	0	0	1
232	win	35.3	0	0	1
233	win	27.2	0	0	1
234	win	25.5	0	0	1
235	win	24.0	0	0	1
236	win	25.4	0	0	1
237	win	27.3	0	0	1
238	win	27.1	0	0	1
239	win	29.6	0	0	1
240	win	29.3	0	0	1
241	win	33.4	0	0	1
242	win	24.3	0	0	1
243	win	26.5	0	0	1
244	loss	33.0	0	0	1
245	win	28.0	0	0	1
246	win	24.0	0	0	1
247	win	36.0	0	0	1
248	win	23.0	0	0	1
249	win	27.3	0	0	1
250	win	19.7	0	0	1
251	win	24.2	0	0	1
252	win	23.3	0	0	1
253	win	20.7	0	0	1
254	win	27.0	0	0	1
255	win	23.3	0	0	1
256	win	28.0	0	0	1
257	win	28.6	0	0	1
258	win	23.6	0	0	1
259	win	33.7	0	0	1
260	win	24.2	0	0	1
261	win	20.3	0	0	1
262	win	24.3	0	0	1
263	loss	43.0	0	0	1
264	win	38.0	0	0	1
265	win	26.7	0	0	1
266	win	23.8	0	0	1
267	loss	43.0	0	0	1
268	win	20.7	0	0	1
269	win	33.0	0	0	1
270	win	28.3	0	0	1
271	win	26.2	0	0	1
272	win	35.4	0	0	1
273	win	36.5	0	0	1
274	win	30.1	0	0	1
275	win	28.2	0	0	1
276	win	28.8	0	0	1
277	win	34.5	0	0	1
278	win	24.4	0	0	1
279	win	41.3	0	0	1
280	win	33.0	0	0	1
281	win	29.7	0	0	1
282	win	28.0	0	0	1
283	win	25.0	0	0	1
284	win	24.3	0	0	1
285	win	44.1	0	0	1
286	win	30.3	0	0	1
287	win	25.5	0	0	1
288	win	25.5	0	0	1
289	win	26.9	0	0	1
290	win	27.1	0	0	1
291	win	29.9	0	0	1
292	win	30.7	0	0	1
293	win	29.9	0	0	1
294	win	26.5	0	0	1
295	win	34.7	0	0	1
296	win	33.4	0	0	1
297	win	21.3	0	0	1
298	win	38.7	0	0	1
299	win	24.9	0	0	1
300	win	31.2	0	0	1
301	win	33.0	0	0	1
302	win	33.0	0	0	1
303	win	28.0	0	0	1
304	win	25.1	0	0	1
305	win	29.8	0	0	1
306	win	27.4	0	0	1
307	win	25.2	0	0	1
308	win	28.0	0	0	1
309	win	26.8	0	0	1
310	win	26.1	0	0	1
311	win	35.9	0	0	1
312	win	25.4	0	0	1
313	win	25.1	0	0	1
314	win	31.3	0	0	1
315	win	24.4	0	0	1
316	timeout	45.0	0	0	1
317	win	28.9	0	0	1
318	win	25.2	0	0	1
319	win	29.9	0	0	1
320	win	40.3	0	0	1
321	win	26.7	0	0	1
322	win	23.0	0	0	1
323	win	27.2	0	0	1
324	win	24.9	0	0	1
325	win	23.7	0	0	1
326	win	27.2	0	0	1
327	timeout	45.0	0	0	1
328	win	23.8	0	0	1
329	win	27.0	0	0	1
330	win	26.5	0	0	1
331	win	25.4	0	0	1
332	win	23.0	0	0	1
333	win	24.7	0	0	1
334	win	33.0	0	0	1
335	win	28.1	0	0	1
336	win	28.9	0	0	1
337	win	28.9	0	0	1
338	win	29.2	0	0	1
339	win	26.2	0	0	1
340	win	39.2	0	0	1
341	win	23.0	0	0	1
342	win	24.1	0	0	1
343	win	28.0	0	0	1
344	win	24.9	0	0	1
345	win	23.0	0	0	1
346	win	26.4	0	0	1
347	win	29.3	0	0	1
348	win	25.9	0	0	1
349	win	24.2	0	0	1
350	win	23.7	0	0	1
351	win	21.3	0	0	1
352	win	31.0	0	0	1
353	win	35.9	0	0	1
354	win	22.1	0	0	1
355	win	28.4	0	0	1
356	timeout	45.0	0	0	1
357	win	24.6	0	0	1
358	win	26.1	0	0	1
359	win	26.3	0	0	1
360	win	30.9	0	0	1
361	win	34.1	0	0	1
